Text,Target
phil the alien be one of those quirky film where the humour be base around the oddness of everything rather than actual punchlines.at first it be very odd and pretty funny but a the movie progress i didnt find the joke or oddness funny anymore.its a low budget film thats never a problem in itself there be some pretty interesting character but eventually i just lose interest.i imagine this film would appeal to a stoner who be currently partaking.for something similar but good try brother from another planet,positive
i saw this movie when i be about when it come out i recall the scary scene be the big bird eat men dangle helplessly from parachute right out of the air the horror the horror.as a young kid go to these cheesy b film on saturday afternoon i still be tire of the formula for these monster type movie that usually include the hero a beautiful woman who might be the daughter of a professor and a happy resolution when the monster die in the end i didnt care much for the romantic angle a a year old and the predictable plot i love them now for the unintentional humor.but about a year or so later i saw psycho when it come out and i love that the star janet leigh be bump off early in the film i sit up and take notice at that point since screenwriter be make up the story make it up to be as scary a possible and not from a wellworn formula there be no rule,neutral
so im not a big fan of boll work but then again not many be i enjoy his movie postal maybe im the only one boll apparently buy the right to use far cry long ago even before the game itself be even finsished people who have enjoy kill mercs and infiltrate secret research lab locate on a tropical island should be warn that this be not far cry ... this be something mr boll have scheme together along with his legion of schmuck .. feel loneley on the set mr boll invite three of his countryman to play with these player go by the name of til schweiger udo kier and ralf moeller.three name that actually have make them selfs pretty big in the movie biz so the tale go like this jack carver play by til schweiger yes carver be german all hail the atwurst eating dude however i find that tils act in this movie be pretty badass .. people have complain about how he not really stay true to the whole carver agenda but we only saw carver in a first person perspective so we dont really know what he look like when he be kick a .. however the storyline in this film be beyond demented we see the evil mad scientist dr. krieger play by udo kier make geneticallymutatedsoldiers or gm a they be call perform his topsecret research on an island that remind me of spoiler vancouver for some reason thats right no palm tree here instead we get some nice rich lumberjackwoods we havent even go far before i start to cry mehehe i can not go on any more .. if you wan na stay true to boll shenanigan then go and see this movie you will not be disappoint it deliver the true boll experience mean most of it will suck.there be some thing worth mention that would imply that boll do a good work on some area of the film such a some nice boat and fight scene until the whole cromed/albino gm squad enter the scene and everything just make me laugh .. the movie far cry reek of scheisse thats poop for you simpleton from a far if you wan na take a wiff go ahead .. btw carver get a very annoying sidekick who make you wan na shoot him the first three minute he on screen,negative
the cast play shakespeare.shakespeare lost.i appreciate that this be try to ing shakespeare to the mass but why ruin something so good.is it because the scottish play be my favorite shakespeare i do not know what i do know be that a certain rev bowdler hence bowdlerization try to do something similar in the victorian era.in other word you can not improve perfection.i have no more to write but a i have to write at least ten line of text and english composition be never my forte i will just have to keep go and say that this movie a the say go just do not cut it,neutral
this a fantastic movie of three prisoner who become famous one of the actor be george clooney and im not a fan but this roll be not bad another good thing about the movie be the soundtrack the man of constant sorrow i recommand this movie to everybody greeting bart,negative
kind of drawn in by the erotic scene only to realize this be one of the most amateurish and unbelievable bit of film ive ever see sort of like a high school film project what be rosanna arquette thinking and what be with all those stock character in that bizarre suppose midwest town pretty hard to get involve with this one no lesson to be learn from it no illiant insight just stilted and quite ridiculous but lot of skin if that intrigue you videotape nonsense .... what be with the bisexual relationship out of nowhere after all the heterosexual encounter and what be with that absurd dance with everybody play their stereotyped role give this one a pas it like a million other mile of bad waste film money that could have be spend on starve child or aid in africa .....,negative
some film just simply should not be remake this be one of them in and of itself it be not a bad film but it fail to capture the flavor and the terror of the film of the same title liam neeson be excellent a he always be and most of the cast hold up with the exception of owen wilson who just do not ing the right feel to the character of luke but the major fault with this version be that it stray too far from the shirley jackson story in it attempt to be grandiose and lose some of the thrill of the early film in a trade off for snazzy special effect again i will say that in and of itself it be not a bad film but you will enjoy the friction of terror in the old version much more,negative
this movie make it into one of my top most awful movie horrible there wasnt a continuous minute where there wasnt a fight with one monster or another there be no chance for any character development they be too busy run from one sword fight to another i have no emotional attachment except to the big bad machine that want to destroy them scene be blatantly steal from other movie lotr star war and matrix examples the ghost scene at the end be steal from the final scene of the old star war with yoda obee one and vader the spider machine in the beginning be exactly like frodo be attack by the spider in return of the king elijah wood be the victim in both film and wait ...... it hypnotize sting it victim and wrap them up ..... uh hello and the whole machine vs. human theme be the matrix .. or terminator ..... there be more example but why waste the time and will someone tell me what be with the nazis nazi there be a juvenile story line rush to a juvenile conclusion the movie could not decide if it be a childrens movie or an adult movie and wasnt much of either just awful a real disappointment to say the least save your money,negative
i remember this filmit be the first film i have watch at the cinema the picture be dark in place i be very nervous it be back in my dad take me my other sister to newbury cinema in newbury berkshire england i recall the tiger and the lot of snow in the film also the appearance of grizzly adam actor dan haggery i think one of the tiger get shot and die if anyone know where to find this on dvd etc please let me know.the cinema now have be turn in a fitness club which be a very big shame a the near cinema now be mile away would love to hear from others who have see this film or any other like it,neutral
an awful film it must have be up against some real stinker to be nominate for the golden globe theyve take the story of the first famous female renaissance painter and mangle it beyond recognition my complaint be not that theyve take liberty with the fact if the story be good that would perfectly fine but it simply bizarre by all account the true story of this artist would have make for a far good film so why do they come up with this dishwaterdull script i suppose there werent enough naked people in the factual version it hurriedly cap off in the end with a summary of the artist life we could have save ourselves a couple of hour if theyd favor the rest of the film with same evity,positive
after the success of die hard and it sequel it no surprise really that in the s a glut of die hard on a ..... movie cash in on the wrong guy wrong place wrong time concept that be what they do with cliffhanger die hard on a mountain just in time to rescue sly stop or my mom will shoot stallones career.cliffhanger be one big nitpicker dream especially to those who be expert at mountain climb basejumping aviation facial expression act skill all in all it full of excuse to dismiss the film a one overblown pile of junk stallone even manage to get outacted by a horse however if you an forget all the nonsense it actually a very lovable and undeniably entertaining romp that deliver a plenty of thrill and unintentionally plenty of laughs.youve get to love john lithgows sneery evilness his tick every box band of baddie and best of all the permanently harass and hapless turncoat agent rex linn a travers.he may of be henry in portrait of a serial killer but michael rooker be noteworthy for a cringeworthy performance a hal he insist on constantly shriek in painful disbelief at his captor that man never hurt anybody and whilst he surely cant be it really do look like ralph waite frank character be grin a the girl plummet to her death.mention too must go to former london burn actor craig fairass a the brit bad guy who come a cropper whilst use hal a a human football yes you cant help enjoy that bit hal need a good kicking.so forget your good judgement who care if that could never happen low your acting expectation turn up the volume and enjoy and if youre look for qaulen he the one wear the helicopter,positive
i have the terrible misfortune of have to view this bmovie in it entirety.all i have to say be save your time and money this have get to be the bad bmovie of all time it shouldnt even be call a bmovie more like an fmovie because it fail in all aspect that make a good movie the story be not interesting at all all of the actor be paperthin and not at all believable it have bad direction and the action sequence be so fake it almost funny ....... almost.the movie be just pack full of crappy oneliners that no respectable person could find amuse in the least little bit.this movie be suppose to be gear towards men but all the woman in it be so utterly unattractive especially that old wrinkle thing that come in towards the end they try to appear sexy in those weird horrible costume and they fail miserably even some of the most ridiculous bmovies will still give you some laugh but this be just too painful to watch,negative
what an absolutely stunning movie if you have hrs to kill watch it you wont regret it it too much fun rajnikanth carry the movie on his shoulder and although there isnt anything more other than him i still like it the music by a.r.rehman take time to grow on you but after you hear it a few time you really start like it,positive
first of all let get a few thing straight here a i be an anime fan always have be a a matter of fact i use to watch speed racer all the time in preschool b i do like several bmovies because theyre hilarious c i like the godzilla movie a lot.moving on when the movie first come on it seem like it go to be your usual bmovie down to the crappy fx but all a sudden boom the anime come on this be when the movie go wwwaaaaayyyyy downhill.the animation be very bad cheap even bad than what i remember from speed racer for crissakes in fact it so cheap one of the few scene from the movie i vividly remember be when a bunch of kid run out of a school ... it the same kid over over again the fx be terrible too the dinosaur look bad than godzilla in addition the transition to live action to animation be unorganized the dialogue voice especially the english dub that i view be horrid i be beg my dad to take the tape out of the dvd/ vhs player the only thing that keep me survive be crack out joke comment like the robot joel/mike on mstk you pick the season honestly this be the only way to barely enjoy this movie survive it at the same time.heck im planning to show this to another fellow otaku pal of mine on halloween for a bmovie night because it stupid pretty painful to watch unintentionally hilarious at the same time im give this movie a an improvement from the i be originally go to give it accord to my grade scale mean pretty much both boring bad as fun a counting to three unless you find a way to make fun of it then it will become as fun a counting to,positive
this be the bad movie i saw at worldfest and it also receive the least amount of applause afterwards i can only think it be receive such recognition base on the amount of known actor in the film it great to see j.beals but shes only in the movie for a few minute m.parker be a much good actress than the part allow for the rest of the acting be hard to judge because the movie be so ridiculous and predictable the main character be totally unsympathetic and therefore a bore to watch there be no real emotional depth to the story a movie revolve about an actor who cant get work doesnt feel very original to me nor do the development of the cop it feel like one of many straighttovideo movie i saw back in the s ... and not even a good one in those standard,positive
the karen carpenter story show a little more about singer karen carpenter complex life though it fail in give accurate fact and details.cynthia gibb portrays karen be not a fine election she be a good actress but play a very naive and sort of dumb karen carpenter i think that the role need a strong character someone with a strong personality.louise fletcher role a agnes carpenter be terrific she do a great job a karen mother.it have great song which could have be include in a soundtrack album unfortunately they werent though this movie be on the top of the rating in usa and other several country,positive
the cell be an exotic masterpiece a dizzying trip into not only the vast mind of a serial killer but also into one of a very talented director this be conclusive evidence of what can be achieve if human being unleash their uninhibited imagination this be boldness at work push aside thought to fall into formula and cliche and create something truly magnificent this be the best movie of the year to date.ive read numerous complaint about this film anywhere from all style and no substance to poorly cast character and bad act to negatively criticize this film be to miss the point this movie may be a landmark a tradition where future movie will hopefully follow the cell have just open the door to another world of imagination so can we slam the door in it face and tell it and it director tarsem singh that we dont want any more personally i would more than welcome another movie by tarsem and would love to see someone try to challenge him.weve all heard talk about go inside the mind of a serial killer and yes i do agree that the genre be a bit overwork the s be full of movie try to depict what make serial killer tick some of them work but most failed but the cell do not blaze down the same trail we be give a new twist we be physically transport into the mind and present with nothing less than a fascinating journey of the most mysterious subject matter ever studied.i like how the movie do not bog u down with too much scientific jargon try to explain how jennifer lopez actually get to enter the ain of another instead she just lie down on a laboratory table and be wrap with what look like really long twizzlers and jaunt into another entity the cell want to let you see what it all about and not how it all about and i guess thats what some people dont like true i do like explanation with my movie but when a movie venture onto new ground you must let it do what it desire and simply take it in.i notice how the film be very dark when it show reality maybe to contrast the ight visuals when inside the ain of another nonetheless the set design be simply astonish i wouldnt be surprise if this film take home a few oscar in cinematography best costume best director and the like if it be up to me itd at least get nominate for best picture.ive notice that ive kind of be repeat myself not because there nothing else to say but because i cant stress enough how fantastic i think the cell be if you walk into the movie with a very open mind and to have it take over with wonder and an eyepopping feast then you be assure a good time i guess this film be just a little too much for some people write it off a weird or crazy i be very much into psychology and the imagination of the human mind so it be right down my alley leave the theater i hear one audience member say whoever make that movie sure do a lot of good drug if so i want what he be smoke out of,positive
this film try to be too many thing all at once sting political satire hollywood blockbuster sappy romantic comedy family value promo ... the list go on and on it fail miserably at all of them but there be enough interest to keep me from turn it off until the end.although i appreciate the spirit behind war inc. it depress me to see such a clumsy effort especially when it will be take by it target to reflect the lack of the existence of a serious critique rather than simply the poor writing direction and production of this particular film.there be a critique to be make about the corporatization of war but poke fun at it in this way diminish the true atrocity of what be happen reminds me a bit of three king which similarly trivialize a genuine cause for concern,negative
this movie be so frustrating everything seem energetic and i be totally prepared to have a good time i at least thought id be able to stand it but i be wrong first the weird loop it be like watch americas funny home video the damn parent i hat them so much the stereotypical latino family i need to speak with the person responsible for this we need to have a talk that little girl who be always hang on someone i just hat her and have to mention it now the final scene transcends i must say it so gloriously bad and full of badness that it be a movie of it own what crappy dance horrible and beautiful at once,negative
war movie be a hollywood genre that have be do and redo so many time that clichã©d dialogue rehash plot and overthetop action sequence seem unavoidable for any conflict deal with largescale combat once in a while however a war movie come along that go against the grain and ings a truly original and compelling story to life on the silver screen the civil warera cold mountain star jude law nicole kidman and renã©e zellweger be such a film.then again call cold mountain a war movie be not entirely accurate true enough the film open with a quite literally quickanddirty battle sequence that put glory director edward zwick shame however cold mountain be not so much about the civil war itself a it be about the period and the people of the time the story center around disgruntled confederate soldier inman play by jude law who become disgust with the gruesome war and homesick for the beautiful hamlet of cold mountain north carolina and the equally beautiful southern belle he leave behind ada monroe play by nicole kidman at first glance this setup appear formulaic a the romantic interest back home give the audience enough sympathy to root for the reluctant soldier tribulation on the battlefield indeed the early segment of the film be relatively unimpressive and even somewhat contrived.cold mountain soon take a drastic turn though a the intrepid hero inman turn out to be a deserter incidentally save the audience from the potentially confusing scenario of want to root for the confederate and begin a long odyssey homeward meanwhile back at the farm ada culture way prove of little use in the field soon she be transform into something of a wilderbeast come to adas rescue be the course toughasnails ruby thewes play by renã©e zellweger who help ada put the farm back together and perhaps more importantly cope with the loneliness and isolation the war seem to have ought upon ada.within these two setting a vivid compelling and at time very disturb portrait of the wartorn south unfolds the character with whom inman and ada interact be surprisingly complex enhance by wonderful performance of brendan gleeson a ruby deadbeat father ray winstone a an unrepentant southern lawman and natalie portman a a deeply troubled and isolated young mother all have be greatly affected and change by the war of northern aggression mostly for the bad the dark pervade antiwar message accent by an effective haunting score and chillingly beautiful shot of virginia and north carolina be communicate to the audience not so much by gruesome battle scene a by the scarred land and traumatized people for which the war be fight though the weapon and tactic of war itself have change much in the past century it hellish effect on the land be timelessly relevant.director anthony minghella manage to maintain this gloomy mood for most of the film but the atmosphere be unfortunately denigrate by a rather tepid climax that do little justice to the wonderfully form character the love story between inman and ada be awkwardly tack onto the beginning and end of the film though the inherently distant abstract and even absurd nature of their relationship in a way fit the dismal nature of the rest of the plot.make no mistake cold mountain have neither the trait of a feelgood romance nor an inspiring war drama it be a unique vision of an era that be sure not only to entertain but also to truly absorb the audience into the life of a people torn apart by a war and entirely desperate to be rid of it terrible repercussion altogether,negative
taut and organically grip edward dmytryks crossfire be a distinctive suspense thriller an unlikely message movie use the look and device of the noir cycle.bivouacked in washington dc a company of soldier cope with their restlessness by hang out in bar three of them end up at a stranger apartment where robert ryan drunk and belligerent beat their host sam levene to death because he happen to be jewish police detective robert young investigates with the help of robert mitchum who assign to ryans outfit suspicion fall on the second of the three george cooper who have vanish ryan slay the third buddy steve brodie to insure his silence before young close in.abetted by a superior script by john paxton dmytryk draw precise performance from his three star bob ryan naturally do his prototypical angry white male and to the hilt while mitchum underplays with his characteristic alert nonchalance his role however be not central young may never have be good gloria grahame give her first fullyfledged rendition of the smartmouthed vulnerable tramp and a a sad sack who leech into her life paul kelly haunt u in a small peripheral role that he make memorable.the politically engage dmytryk perhaps inevitably succumb to sermonize but it pretty much confine to young reminiscence of how his irish grandfather die at the hand of bigot a century earlier thus incidentally stretch chronology to the limit at least there no attempt to render an explanation however glib of why ryan hate jew and hillbilly and ... .curiously crossfire survives even the major change work upon it the novel it base on richard brook the brick foxhole dealt with a gaybashing murder but homosexuality in be still beyond the pale news of the holocaust have however begin to emerge from the ash of europe so hollywood felt embolden to register it protest against antisemitism the studio always quake at the prospect of offend any potential ticket buyer .but while the change from homophobia to antisemitism work in general the specific dont fit so smoothly the victim chat up a lonesome drunk young soldier then invite him back home look odd even though or especially since there a girlfriend in tow it raise the question whether this scenario be retain inadvertently or leave in a a discreet tipoff to the original engine generate ryans murderous rage,negative
ardh satya be one of the fine film ever make in indian cinema direct by the great director govind nihalani this one be the most successful hard hit parallel cinema which also turn out to be a commercial success even today ardh satya be an inspiration for all lead director of india.the film tell the reallife scenario of mumbai police of the s. unlike any police of other city in india mumbai police encompass a different system altogether govind nihalani create a very practical outlay with real life approach of mumbai police environment.amongst various police officer colleague the film describe the story of anand velankar a young hotblooded cop come from a poor family his father be a harsh police constable anand himself suffers from his father ideology incidence of his father atrocity on his mother anands approach towards immediate action against crime be an inert craving for his own job satisfaction the film be here revolve in a plot wherein anands constant effort against crime be trample by his seniors.this lead to frustration a he can not achieve the desired jobsatisfaction result from the frustration his anger be express in excessive violence in the remand room bar also turn him to an alcoholic.the spirit within him be still alive a he constantly fight the system he be aware of the system of the metro where the police politician be a inertly associate by far end his compromise towards unethical practice be negative finally he get suspended.the direction be a master piece thoroughly hard core one of the best memorable scene be when anand eaks in the underworld gangster rama shettys house to arrest him follow by short conversation which be fantastic at many scene the film have hairraising moments.the practical approach of script be a major punch alcoholism corruption political influence courage deception all be integral part of mumbai police even today those aspect be deal illiantly.finally the film belongs to the one man show om puri portray anand velankar traverse through all his emotion absolutely illiantly,negative
my first exposure to the templarios not a good one i be excite to find this title among the offering from anchor bay video which have ought u other cult classic such a spider baby the print quality be excellent but this alone cant hide the fact that the film be deadly dull theres a thrill opening sequence in which the villager exact a terrible revenge on the templar set the whole thing in motion but everything else in the movie be slow ponderous ultimately unfulfilling add insult to injury the movie be dub not subtitle a promise on the video jacket,negative
one of the most significant quote from the entire film be pronounce halfway through by the protagonist the mafia middleman titta di girolamo a physically nondescript middleaged man originally from salerno in southern italy when be introduce to him at the start of the film he be live a nonlife in an elegant but sterile hotel in the italianspeaking canton of switzerland for the last ten year conduct a business we be only gradually introduce to while this pivotal yet apparently unremarkable scene take place employee of the the swiss bank who normally count di girolamos cash tell him that dollar be miss from his usual suitcase full of tightly stack banknote at the news he quietly but icily threaten his coax bank manager of want to close down his account meanwhile he tell u the spectator that when you bluff you have to bluff right through to the end without fear of be catch out or appear ridiculous he say you cant bluff for a while and then halfway through tell the truth have eventually do this bluffed only halfway through and tell the truth and have accept the consequence of life and ultimately love be exactly the reason behind the beginning of titta di girolamos trouble this initially unsympathetic character a scowl taciturn curt man on the verge of a man who wont even reply in kind to chambermaid and waitress who say hello and goodbye becomes at one point someone the spectator care deeply about at one point in his nonlife titta decide to feel concern about appear ridiculous the first half of the film may be describe a slow by some it do indeed reveal di girolamos day and night in that hotel at an oddly disjoined deliberate pace reveal seemingly mundane and irrelevant detail however scene that may have seem unnecessary reveal just how essential they be a this masterfully construct and innovative film unfolds before your eye the existence of titta di girolamo the man with no imagination identity or life the unsympathetic character you unexpectedly end up loving and feeling for when you least think you would be also convey with elegantly edit sequence and very interesting use of music one theme by the scottish band board of canada especially stand out never be the contrast between the way hollywood and italy treat mobster more at odds than since the release of film such a le conseguenze dellamore or limbalsamatore another interesting element be the way in which the film make use of the protagonist insomnia not unlike the machinist and in a far more explicit way the al pacino film insomnia le conseguenze dellamore use this condition to symbolise a deep emotional malaise thats be ram so deep into the obscurity of the unconscious it almost impossible to pinpoint it cause if indeed there be one the young and sympathetic hotel waitress sofia play by olivia magnani granddaughter of the legendary anna and the memory of tittas best friend a man whom he hasnt see in year unexpectedly provide a tiny window onto life that titta eventually though tentatively at first accepts to look through again though it never explicitly spell out the spectator know that to a man like titta accept the consequence of love will have unimaginable consequence a film without a single scene of sex or violence a film that unfold in it own time and concedes nothing to the spectator expectation le conseguenze dellamore be a fine representative of that small quiet discreet renaissance that have be take place in italian cinema since the decline of cinecittã during the second half of the s. the world be wait for italy to produce more il postinolike fare more la vita ã¨ bellastyle film ... neglect to explore fine creation like le conseguenze dellamore limbalsamatore and others your loss world,positive
i watch this film not really expect much i get it in a pack of film all of which be pretty terrible in their own way for under a fiver so what could i expect and you know what i be right they be all terrible this movie have a few and a few be stretch it interesting point the occasional camcorder view be a nice touch the drummer be very like a drummer i.e damn annoying and well thats about it actually the problem be that it just so boring in what i can only assume be an attempt to build tension a whole lot of nothing happens and when it do it utterly tedious i have my thumb on the fast forward button ready to press for most of the movie but give it a go and seriously be the lead singer of the band that great look coz they dont half mention how beautiful he be a hell of a lot i think he look a bit like a meercat all this and i havent even mention the killer im not even gon na go into it it just not worth explain anyway as far a im concern star and london be just about the only reason to watch this and with the exception of london who be actually quite funny it wasnt because of their acting talent ive certainly see a lot bad but ive also see a lot well best avoid unless your bored of watch paint dry,positive
i buy this film at blockbuster for because it sound interest a bit ranmaesque with the idea of someone drag around a skeleton because there be a cute girl in a miniskirt on the back and because there be a restricted viewing sticker on it i think it be go to be a sweet or at least sincere come of age story with a weird indie edge i be wrong.having watch it i have to wonder how it get the restrict sticker since there be hardly any foul language little violence and the close thing to nudity honestly i dont usually go around hop for it be when the girl be in her nightgown and you see her panty you see her panty a lot in this movie because no matter what shes wear a miniskirt of some sort even the antireligious humor be tame and lame caricature insincere derivative unoriginal and bad of all not funny in the slightestit would be well just to listen to ray stevens would jesus wear a rolex on his television show this would barely qualify a pg it be not rat but blockbuster refuse to let anyone under the age of rent thisas if it be pornographic any little kid could go in there and rent the edited version of requiem for a dream but they insist that zack and reba be worse.it be but not in that way.in a way this worry methe only thing leave that could offend people be the idea of the suicide at the beginning if anybody need to see movie with honestly portray suicides not this one but good one like the virgin suicides it teenager if both of those movie be rat r purely because of the suicide aspect then i have little chance of turn a story ive be write into a pg movie the main character be eleven and a half and twelve suicide be one of the top three lead cause of death in teenager i think it number so chance be that most teen have be or will be affect by it.just say no to this movie though,negative
the plot be about the death of little child hopper be the one who have to investigate the killing during the movie it appear that he have some trouble with his daughter in the end the serial killer get catch thats it but before you find out who dunnit you have to see some terrible acting by all of the actor it be unbelievable how bad these actor be include hopper i could go on like this but that to much of a waste of my time just dont watch the movie ive warn you,negative
ever watch a movie that lose the plot well this didnt even really have one to begin with.where to begin the achingly tedious scene of our heroine sit around the house with actually no sense of menace or even forebode create even during the apparently constant thunderstorm that be strangely never actually hear in the housegreat double glaze the house that be apparently only a few mile from a town yet be several hour walk away or the third girl who serve no purpose to the plot except to provide a surprisingly quick gory murder just a the tedium become unbearable or even the beginning which suggest a spate of killing throughout the area even though it be apparent the killer never venture far from the house or the bizarre ritual with the salt pepper that pretty much sum up most of the film inherent lack of direction.add a lead actress who cant act but at least be willing to do some completely irrelevant nude shower scene and this video be truly nasty but not in the way you hope.given a following simply for be ban in the uk in the s mostly because of a final surprisingly over extended murder it offer nothing but curiosity value and one classic daft murder dont worryits telegraph at least ten minute before .after a walk in the wood our victim come to a rather steep upward slope which they obviously struggle up halfway through they see a figure at the top dress in black and andishing a large scythe what do they do slide down and run like the rest of u no of course not they struggle to the top and stand conveniently nice and upright in front of the murder weapon.it really be only a movie a they say ..,negative
okay so this series kind of take the route of here we go again week in week out david mors character help out his ride who be in a bit of a pickle but whats wrong with that david morse be one of the great character actor out there and certainly the coolest and to have him in a series create by david koepp a great writer be heaven due to the lack of love for this show by many i cant see it go to a season series but you never know the amount of rubbish that have make it beyond that baffle me let hope something good can make it past a first series,positive
after sit through this pile of dung my husband and i wonder whether it be actually the product of an experiment to see whether a computer program could produce a movie it be that listless and formulaic but the u.s. propaganda throw in your face throughout the film provesdisappointinglythat it the work of human call me a conspiracy theorist but quote like we have to steal the declaration of independence to protect it seem like way to justify action like the invasion of iraq etc the fact that nicholas cage spews line like i would never use the declaration of independence a a bargaining chip with a straight face make me and my husband wonder whether the entire cast take valium before shoot each scene the reasoning behind each plot turn and new clue be truly ridiculous and impossible to follow and there also a bonus side plot of misogyny with dr. whateverhernamewas be chide by all involve for never shut up shes clearly in the movie only for look but they felt the need to slap a dr. title on her character to give her some gravity at one point cage character say dont you ever shut up and the camera pan to her look poutily down at her hand like shes a child truly grotesque the only benefit to this movie be that it so astonishingly bad you do get a few laugh out of it the really scary thing be that a majority of the people watch the movie with u seem to enjoy it creepy ....,positive
